bin,CYCLE_NUMBER,PRES_ADJUSTED,LATITUDE,LONGITUDE,TIME,MLD_DEPTH,CONSISTENT_ANOM,WMO
11,17,420,33.1904,-179.8566,2024-04-12,331.1400146484375,0,1902646
11,18,420,33.0534,-179.7606,2024-04-22,51.79999923706055,NA,1902646
12,18,460,33.0534,-179.7606,2024-04-22,51.79999923706055,NA,1902646
14,19,540,32.7981,-179.7354,2024-05-02,80.83000183105469,0,1902646
14,22,540,32.3331,179.9333,2024-06-02,7.550000190734863,0,1902646
12,24,460,32.5671,-179.6455,2024-06-23,7.760000228881836,0,1902646
14,24,540,32.5671,-179.6455,2024-06-23,7.760000228881836,0,1902646
13,25,500,32.6926,-179.4539,2024-07-03,7.739999771118164,0,1902646
11,26,420,32.6951,-179.4398,2024-07-13,16.43000030517578,0,1902646
13,26,500,32.6951,-179.4398,2024-07-13,16.43000030517578,0,1902646
14,26,540,32.6951,-179.4398,2024-07-13,16.43000030517578,0,1902646
11,27,420,32.6869,-179.471,2024-07-24,16.690000534057617,0,1902646
16,1,620,-42.9338,114.9831,2024-02-25,72.13999938964844,0,1902651
18,4,700,-42.6185,114.4506,2024-03-26,87.33000183105469,0,1902651
18,10,700,-43.027,115.3031,2024-05-27,96.99000549316406,0,1902651
18,12,700,-42.6652,116.1441,2024-06-17,111.23999786376953,0,1902651
18,13,700,-42.3999,115.6637,2024-06-27,111.93000030517578,0,1902651
18,14,700,-42.2247,114.7409,2024-07-07,132.23001098632812,0,1902651
7,6,260,-1.4117,179.0735,2023-04-25,160.2899932861328,0,2903451
7,8,260,-1.8303,178.7239,2023-05-15,160.40000915527344,NA,2903451
7,9,260,-1.6397,178.491,2023-05-25,162.3100128173828,0,2903451
7,10,260,-1.3756,178.028,2023-06-04,180.3800048828125,0,2903451
7,11,260,-1.0761,177.3551,2023-06-14,160.16000366210938,NA,2903451
10,14,380,-1.2106,173.6401,2023-07-14,160.30999755859375,NA,2903451
7,16,260,-0.4159,171.3435,2023-08-03,154.24000549316406,0,2903451
8,17,300,-0.5433,169.7396,2023-08-13,174.3000030517578,0,2903451
8,18,300,-0.0458,168.3344,2023-08-23,90.30000305175781,0,2903451
8,19,300,-0.2982,166.5435,2023-09-02,124.62999725341797,0,2903451
8,24,300,0.8818,158.4625,2023-10-22,132.27999877929688,0,2903451
14,25,540,0.8778,157.1655,2023-11-02,134.22000122070312,0,2903451
8,26,300,0.3925,155.6626,2023-11-12,108.2300033569336,0,2903451
13,26,500,0.3925,155.6626,2023-11-12,108.2300033569336,0,2903451
12,27,460,0.1391,154.0488,2023-11-22,76.01000213623047,0,2903451
14,27,540,0.1391,154.0488,2023-11-22,76.01000213623047,0,2903451
9,28,340,0.0228,152.4647,2023-12-02,66.41999816894531,0,2903451
9,29,340,-0.1394,150.8026,2023-12-12,64.339996337890625,NA,2903451
14,29,540,-0.1394,150.8026,2023-12-12,64.339996337890625,NA,2903451
9,30,340,-0.4045,149.6281,2023-12-22,120.1300048828125,0,2903451
13,30,500,-0.4045,149.6281,2023-12-22,120.1300048828125,0,2903451
