WMO,Cycle,Category,CYCLE_NUMBER,LATITUDE,LONGITUDE,TIME
6903828,103,0,103,35.558865,21.511556666666667,2024-05-04
5906444,57,2,57,-49.871,-122.6777,2024-06-09
5906244,23,0,23,-32.679,-2.79,2020-11-07
7901098,12,0,12,8.1862,-167.6259,2024-01-19
7901098,11,0,11,8.161,-167.7928,2024-01-09
6901522,4,0,4,57.691625,-51.86358,2013-05-18
5906213,22,1,22,-54.949,-84.305,2020-07-10
6903579,162,2,162,59.42079833333333,-59.31483166666667,2023-04-02
6901485,6,1,6,63.27662333333333,-30.715168333333335,2013-06-22
6901485,51,0,51,61.493338333333334,-34.919435,2014-03-21
6901485,138,2,138,62.249316666666665,-59.218695,2015-06-16
5904846,19,2,19,-45.325,147.898,2018-07-16
5904846,16,3,16,-45.994,147.86,2018-06-16
1902459,12,1,12,-27.6362,48.8713,2023-08-08
1902459,11,2,11,-26.7706,49.9679,2023-07-29
1902459,13,2,13,-27.3916,48.158,2023-08-18
5906438,46,2,46,41.363,-45.706,2022-08-06
5906438,43,2,43,41.379,-46.227,2022-07-07
5903586,167,1,167,12.987,50.913,2014-04-27
5904984,27,0,27,-58.836,-46.148,2017-09-16
5904984,103,0,103,-57.728,-27.383,2019-10-16
5904984,83,0,83,-59.007,-31.605,2019-03-30
5904984,20,0,20,-57.549,-49.314,2017-07-08
5904984,100,0,100,-58.092,-27.945,2019-09-16
5905556,71,0,71,-53.83801,177.67923833333333,2024-10-02
5905131,100,0,100,-32.446,0.333,2020-06-29
5905131,121,0,121,-33.973,2.639,2021-01-25
5905131,156,0,156,-29.263,-4.979,2022-01-11
5905131,10,0,10,-34.485,8.205,2018-01-07
5905131,127,0,127,-32.963,1.031,2021-03-27
5905131,114,2,114,-32.875,2.022,2020-11-16
5905970,135,0,135,4.301,-170.703,2022-05-02
5905970,140,0,140,4.528,-167.037,2022-06-23
5905970,123,0,123,4.42,-174.391,2021-12-29
5905970,134,0,134,4.595,-171.001,2022-04-21
2903454,9,0,9,-64.88734191348263,152.48901116251585,2023-06-23
3902122,97,0,97,11.332316666666667,-24.775396666666666,2018-10-08
5906209,76,1,76,-44.076,116.392,2022-02-17
5906209,156,1,156,-48.806,147.449,2024-05-18
5906226,56,1,56,-56.045,-43.791,2021-08-22
5906226,107,2,107,-57.083,-20.615,2023-02-04
5906226,68,1,68,-57.972,-37.771,2021-12-24
5906226,43,1,43,-59.414,-51.672,2021-04-08
5906226,47,1,47,-59.265,-48.918,2021-05-20
5906226,39,2,39,-59.438,-53.22,2021-02-26
5906623,259,1,259,-49.5448905,147.07943433333332,2023-02-05
5906623,140,1,140,-46.14527066666667,141.04058766666665,2021-11-22
5906623,235,1,235,-49.123431333333336,148.77858183333333,2022-08-08
5906540,32,1,32,-10.2956,45.9147,2023-09-02
5906026,113,0,113,53.8913,-137.4494,2024-07-03
2903453,49,1,49,-50.2837,160.8816,2024-08-07
5904688,50,1,50,-50.32622697511567,126.66043609561088,2017-07-25
5904688,22,1,22,-46.743,118.544,2016-10-09
5904688,48,1,48,-50.43,126.772,2017-07-05
5906246,60,1,60,-35.171,11.987,2021-11-23
5906246,62,1,62,-34.403,12.008,2021-12-13
5906246,31,1,31,-38.395,7.311,2021-01-29
5906249,140,1,140,-33.212,10.242,2024-02-26
5906249,160,1,160,-32.176,3.473,2024-09-19
5906249,112,1,112,-38.513,11.265,2023-05-13
5906249,108,1,108,-39.633,10.294,2023-04-02
6902737,171,0,171,-52.94992666666667,81.55934666666667,2018-01-05
3902556,13,0,13,-14.6226,-80.8501,2024-04-11
5905076,14,1,14,-53.853,-116.917,2017-07-02
5905100,50,0,50,-65.04835189602487,166.54740971088245,2018-08-23
1902493,9,0,9,-31.2878,-0.6673,2024-05-22
1902493,16,0,16,-31.3462,-1.1684,2024-07-31
2902093,227,0,227,16.090888333333332,68.75648,2019-02-12
5906489,39,0,39,-35.151,-47.115,2023-03-15
6902550,106,0,106,72.156,5.406,2016-04-11
6902550,154,0,154,75.342,5.982,2016-12-08
6902550,121,0,121,73.621,8.811,2016-06-25
6902550,126,2,126,74.278,9.635,2016-07-20
6902550,56,0,56,70.919,0.471,2015-08-05
6902550,114,2,114,72.852,9.792,2016-05-21
6902550,195,0,195,75.848,1.253,2017-07-02
5906235,134,0,134,1.078,165.804,2023-11-17
5906476,16,0,16,4.912,-135.752,2022-05-07
5906003,10,1,10,-57.95,-51.321,2019-06-01
5906003,36,0,36,-57.585,-32.1,2020-02-17
6903554,78,0,78,65.32454,-5.47201,2020-04-13
6903554,81,0,81,64.46181,-6.56653,2020-04-28
6903554,84,0,84,63.76054,-6.20321,2020-05-13
5904693,139,1,139,-56.303,-124.669,2019-09-08
5903679,214,3,214,-47.923,145.881,2011-12-31
5903679,42,1,42,-48.596,143.851,2011-06-19
