WMO,Cycle,Category,CYCLE_NUMBER
5904179,42,2,42
5904179,46,2,46
5904179,66,2,66
5904179,67,1,67
5904179,74,1,74
5904179,75,2,75
5904179,80,0,80
5904179,81,2,81
5904179,82,1,82
5904179,84,2,84
5904179,86,2,86
5904185,103,0,103
5904185,109,2,109
5904185,131,0,131
5904185,133,0,133
5904185,134,0,134
5904185,135,0,135
5904185,136,1,136
5904185,138,2,138
5904185,142,0,142
5904185,144,0,144
5904185,146,2,146
5904185,149,1,149
5904185,155,2,155
5904185,156,1,156
5904185,161,1,161
5904185,36,1,36
5904185,37,0,37
5904185,44,1,44
5904185,61,1,61
5904185,63,1,63
5904185,65,1,65
5904185,86,0,86
5904188,102,1,102
5904188,131,1,131
5904188,138,2,138
5904188,142,1,142
5904188,165,2,165
5904188,167,1,167
5904188,18,2,18
5904396,10,1,10
5904396,12,1,12
5904396,120,1,120
5904396,127,1,127
5904396,128,4,128
5904396,13,1,13
5904396,20,2,20
5904396,21,2,21
5904396,4,2,4
5904396,5,2,5
5904396,79,2,79
5904396,9,2,9
5904471,100,2,100
5904471,103,2,103
5904471,119,2,119
5904471,123,0,123
5904472,101,2,101
5904473,19,2,19
5904473,21,0,21
5904473,57,2,57
5904474,131,2,131
5904474,134,2,134
5904475,13,1,13
5904475,176,2,176
5904475,214,4,214
5904476,27,2,27
5904476,51,0,51
5904477,13,2,13
5904659,101,1,101
5904659,114,2,114
5904659,121,0,121
5904661,34,4,34
5904661,37,2,37
5904661,42,1,42
5904661,44,2,44
5904661,47,2,47
5904670,25,0,25
5904670,28,2,28
5904673,53,2,53
5904673,1,0,1
5904673,52,2,52
5904673,10,2,10
5904673,54,0,54
5904673,101,0,101
5904673,55,2,55
5904673,102,2,102
5904673,61,2,61
5904673,104,2,104
5904673,65,0,65
5904673,105,1,105
5904673,69,2,69
5904673,106,2,106
5904673,7,0,7
5904673,113,0,113
5904673,71,0,71
5904673,14,0,14
5904673,78,0,78
5904673,15,0,15
5904673,8,0,8
5904673,17,0,17
5904673,80,2,80
5904673,19,2,19
5904673,83,2,83
5904673,20,2,20
5904673,86,0,86
5904673,21,2,21
5904673,92,2,92
5904673,22,1,22
5904673,94,0,94
5904673,23,2,23
5904673,95,2,95
5904673,24,2,24
5904673,96,0,96
5904673,25,1,25
5904673,97,2,97
5904673,26,1,26
5904673,98,0,98
5904673,27,0,27
5904673,99,0,99
5904673,28,0,28
5904673,29,2,29
5904673,30,0,30
5904673,31,0,31
