bin,CYCLE_NUMBER,PRES_ADJUSTED,LATITUDE,LONGITUDE,TIME,MLD_DEPTH,CONSISTENT_ANOM,WMO
11,11,420,35.1683,-155.7867,2023-07-08,8.019999504089355,0,4903587
11,14,420,35.3374,-155.9169,2023-07-24,16.899999618530273,0,4903587
11,20,420,35.5106,-155.9748,2023-08-24,17.030000686645508,0,4903587
11,26,420,35.4859,-155.5052,2023-09-25,22.079999923706055,0,4903587
11,32,420,35.4801,-154.8131,2023-10-26,52.25,0,4903587
11,40,420,35.3632,-154.4088,2023-12-07,76.91999816894531,0,4903587
11,50,420,35.2588,-154.2109,2024-01-28,101.8800048828125,0,4903587
11,51,420,35.2562,-154.1919,2024-02-02,141.95001220703125,0,4903587
11,52,420,35.2544,-154.2144,2024-02-07,151.010009765625,0,4903587
11,70,420,34.3455,-155.909,2024-05-11,26.950000762939453,0,4903587
11,72,420,34.2031,-156.315,2024-05-21,46.9900016784668,0,4903587
7,1,260,-43.9827,-10.7478,2023-09-29,2.0899999141693115,1,4903744
7,3,260,-43.4229,-9.1409,2023-10-20,29.959999084472656,1,4903744
7,6,260,-42.6993,-8.9826,2023-11-19,91.9000015258789,1,4903744
6,6,220,-52.0873,116.2652,2024-04-09,111.38999938964844,0,4903750
6,9,220,-52.8204,116.9334,2024-05-10,151.60000610351562,1,4903750
10,13,380,-55.0488,119.2156,2024-06-20,131.80999755859375,1,4903750
6,186,220,51.778,-139.399,2013-02-02,102.52000427246094,0,5903274
11,18,420,20.386,63.639,2012-03-14,181.1999969482422,0,5903586
7,51,260,20.989,59.718,2012-09-01,46.72999954223633,0,5903586
6,52,220,20.653,59.464,2012-09-07,66.80000305175781,0,5903586
6,53,220,20.143,59.047,2012-09-12,41.80000305175781,1,5903586
6,54,220,19.508,58.724,2012-09-17,61.80999755859375,1,5903586
6,58,220,18.247,58.004,2012-10-08,26.829999923706055,1,5903586
11,117,420,13.245,49.589,2013-08-10,46.9900016784668,0,5903586
18,121,700,13.545,48.201,2013-08-31,7.78000020980835,0,5903586
17,123,660,13.532,47.773,2013-09-10,7.539999961853027,0,5903586
14,124,540,13.527,47.674,2013-09-15,16.64000129699707,1,5903586
14,126,540,13.216,47.108,2013-09-26,11.799999237060547,1,5903586
18,128,700,12.635,46.276,2013-10-06,21.630001068115234,0,5903586
17,137,660,12.997,48.09,2013-11-22,16.779998779296875,0,5903586
18,137,700,12.997,48.09,2013-11-22,16.779998779296875,0,5903586
13,154,500,12.198,50.41,2014-02-18,71.40999603271484,0,5903586
12,188,460,14.42,49.402,2014-08-14,7.8899993896484375,0,5903586
13,188,500,14.42,49.402,2014-08-14,7.8899993896484375,0,5903586
16,13,620,76.002,-4.436,2011-10-25,86.08000183105469,0,5903592
6,48,220,72.345,-13.455,2012-04-24,86.66999816894531,0,5903592
14,67,540,72.069,-13.118,2012-07-31,22.270000457763672,0,5903592
16,67,620,72.069,-13.118,2012-07-31,22.270000457763672,0,5903592
11,110,420,71.288,-13.003,2013-03-14,21.44999885559082,0,5903592
14,111,540,71.26,-13.06,2013-03-19,75.95000457763672,0,5903592
16,111,620,71.26,-13.06,2013-03-19,75.95000457763672,0,5903592
13,44,500,-42.092,97.141,2012-10-24,7.769999980926514,1,5903593
14,44,540,-42.092,97.141,2012-10-24,7.769999980926514,1,5903593
16,44,620,-42.092,97.141,2012-10-24,7.769999980926514,0,5903593
