WMO,Cycle,Category
2903468,11,0
2903468,23,1
2903468,12,0
2903468,3,1
2903468,5,0
2903468,8,0
2903468,1,0
2903468,27,1
2903468,29,0
2903468,9,0
2903468,2,0
2903468,22,0
2903468,33,0
2903468,28,1
2903468,20,0
2903468,35,0
1902382,75,1
1902382,54,0
1902382,34,0
1902382,42,0
1902382,78,0
1902382,84,0
1902382,44,0
1902382,91,0
1902382,59,0
1902382,88,0
1902382,33,0
1902382,35,0
1902382,52,0
1902382,45,0
1902382,49,0
1902382,15,0
1902382,86,0
1902382,29,0
1902382,69,0
1902382,12,0
4903485,41,0
4903485,26,0
4903485,17,0
4903485,24,0
4903485,3,0
4903485,31,0
4903485,35,0
4903485,8,0
4903485,9,0
4903485,11,0
4903485,23,0
4903485,25,0
4903485,44,0
4903485,19,0
4903485,34,0
4903485,43,0
4903485,13,0
4903485,15,0
4903485,29,0
4903485,32,0
5904680,26,0
5904680,25,0
5904680,18,0
5904680,2,0
5904680,16,0
5904680,24,0
5904680,10,0
5904680,15,0
5904680,14,2
5904680,5,0
5904680,1,0
5904680,17,0
5904680,3,0
5904680,11,0
5904680,8,0
5904680,4,2
5904680,21,0
5904680,20,0
5904680,12,0
5904680,6,0
5904105,83,0
5904105,162,0
5904105,159,0
5904105,110,0
5904105,93,0
5904105,47,0
5904105,121,0
5904105,27,0
5904105,13,0
5904105,65,0
5904105,165,0
5904105,62,0
5904105,193,0
5904105,86,0
5904105,85,0
5904105,84,0
5904105,102,0
5904105,140,0
5904105,33,0
5904105,99,1
4903591,28,0
4903591,36,0
4903591,58,0
4903591,20,0
4903591,17,0
4903591,3,0
4903591,46,0
4903591,47,0
4903591,51,0
4903591,32,0
4903591,19,0
4903591,79,0
4903591,16,0
4903591,50,0
4903591,54,0
4903591,1,0
4903591,62,0
4903591,69,0
4903591,11,0
4903591,23,0
1902457,12,0
1902457,25,0
1902457,38,0
1902457,8,0
1902457,43,0
1902457,41,0
1902457,29,0
1902457,10,1
1902457,6,0
1902457,37,0
1902457,35,0
1902457,18,0
1902457,5,0
1902457,14,0
1902457,2,0
1902457,33,0
1902457,42,0
1902457,3,0
1902457,15,0
1902457,24,0
5904660,81,0
5904660,35,1
5904660,34,0
5904660,16,0
5904660,41,0
5904660,53,0
5904660,40,0
5904660,73,0
5904660,15,0
5904660,21,0
5904660,78,0
5904660,79,0
5904660,84,0
5904660,18,1
5904660,58,0
4903486,26,0
4903486,34,0
4903486,21,0
4903486,3,0
4903486,28,0
4903486,50,0
4903486,38,0
4903486,43,0
4903486,45,0
4903486,42,0
4903486,49,0
4903486,40,0
4903486,2,0
4903486,48,0
4903486,44,0
4903486,11,0
4903486,20,0
4903486,14,0
4903486,4,0
4903486,18,0
4903533,1,0
4903533,43,0
4903533,46,0
4903533,34,0
4903533,21,0
4903533,7,0
4903533,23,0
4903533,5,0
4903533,45,0
4903533,17,0
4903533,30,0
4903533,24,0
4903533,20,0
4903533,12,0
4903533,26,0
4903533,8,0
4903533,14,0
4903533,19,0
4903533,10,0
4903533,33,0
4903500,44,0
4903500,21,0
4903500,62,0
4903500,65,0
4903500,3,1
4903500,8,1
4903500,51,0
4903500,25,0
4903500,59,0
4903500,63,0
4903500,5,1
4903500,29,0
4903500,11,0
4903500,16,0
4903500,2,0
4903500,67,0
4903500,28,0
4903500,38,0
4903500,23,0
4903500,45,0
5904677,69,0
5904677,13,0
5904677,70,0
5904677,40,0
5904677,25,1
5903717,39,0
5903717,60,0
5903717,1,0
5903717,40,0
5903717,117,0
5903717,97,0
5903717,82,0
5904471,34,0
5904471,68,0
5904471,103,0
5904471,94,1
5904471,78,0
5904471,106,0
5904471,48,0
5904471,127,0
5904471,90,0
5904471,35,0
5904471,91,0
5904471,153,0
5904471,42,0
5904471,60,0
5904471,95,0
5904471,156,1
5904471,2,0
5904471,39,0
5904471,139,0
5904471,86,0
4903273,24,0
4903273,48,0
4903273,89,0
4903273,104,0
4903273,71,0
4903273,29,0
4903273,5,0
4903273,7,0
4903273,50,0
4903273,39,0
4903273,85,0
4903273,59,0
4903273,13,0
4903273,30,0
4903273,79,0
4903273,34,0
4903273,21,0
4903273,47,0
4903273,110,0
4903273,52,0
4903463,3,0
4903463,23,0
4903463,47,0
4903463,10,0
4903463,45,0
4903463,43,0
4903463,6,0
4903463,52,0
4903463,40,0
4903463,59,0
4903463,44,0
4903463,24,0
4903463,14,0
4903463,32,0
4903463,36,0
4903463,62,0
4903463,16,0
4903463,18,0
4903463,33,0
4903463,9,0
5904763,63,0
5904763,94,0
5904763,3,0
5904763,118,0
5904763,86,0
5904763,73,0
5904763,127,0
5904763,130,0
5904763,6,0
5904763,49,2
5904763,30,2
5904763,136,0
5904763,52,0
5904763,28,0
5904763,48,0
5904763,115,0
5904763,106,0
5904763,69,0
5904763,76,0
5904763,141,0
5904670,28,1
5904670,33,0
5904670,29,0
5904670,31,0
5904670,1,0
5904670,16,0
5904670,13,0
5904670,20,0
5904670,32,0
5904670,6,0
5904670,14,0
5904670,10,0
5904670,22,0
5904670,23,0
5904670,5,0
5904670,19,0
5904670,24,0
5904670,26,0
5904670,4,0
5904670,11,0
2903470,17,0
2903470,28,0
2903470,18,0
2903470,27,0
2903470,13,0
2903470,30,0
2903470,4,0
2903470,5,0
2903470,22,0
2903470,20,0
2903470,9,0
2903470,15,0
2903470,23,0
2903470,21,0
2903470,7,0
2903470,11,0
2903470,2,0
2903470,14,0
2903470,8,0
2903470,6,0
5904765,137,0
5904765,133,0
5904765,134,0
5904765,80,0
5904765,72,0
5904765,125,0
5904765,7,0
5904765,70,0
5904765,71,0
5904765,54,0
5904765,45,0
5904765,50,0
5904765,33,0
5904765,16,0
5904765,90,0
5904765,98,0
5904765,29,0
5904765,129,0
5904765,85,0
5904765,135,0
1902381,83,0
1902381,46,0
1902381,75,0
1902381,11,0
1902381,50,0
1902381,82,0
1902381,51,0
1902381,27,0
1902381,3,0
1902381,7,0
1902381,44,0
1902381,48,0
1902381,34,0
1902381,13,0
1902381,21,1
1902381,49,0
1902381,32,0
1902381,69,0
1902381,66,0
1902381,90,0
2903856,21,0
2903856,3,0
2903856,9,0
2903856,15,0
2903856,8,0
2903856,5,0
2903856,17,0
2903856,29,0
2903856,20,0
2903856,14,0
2903856,32,0
2903856,31,0
2903856,11,0
2903856,28,0
2903856,4,0
2903856,22,0
2903856,25,0
2903856,1,0
2903856,7,0
2903856,13,0
1902383,72,0
1902383,12,0
1902383,75,0
1902383,64,0
1902383,61,0
1902383,36,0
1902383,73,0
1902383,13,0
1902383,52,0
1902383,37,0
1902383,79,0
1902383,31,0
1902383,23,0
1902383,60,0
1902383,46,0
1902383,88,0
1902383,82,0
1902383,44,0
1902383,83,0
1902383,9,0
5904684,144,2
5904684,79,0
5904684,44,0
5904684,80,0
5904684,90,0
5904684,74,0
5904684,148,0
5904684,30,0
5904684,32,0
5904684,22,0
5904684,116,0
5904684,13,0
5904684,12,0
5904684,83,0
5904684,99,0
5904684,45,0
5904684,14,0
5904684,134,0
5904684,26,0
5904684,129,0
2903455,37,0
2903455,10,0
2903455,25,0
2903455,2,0
2903455,32,0
2903455,13,0
2903455,24,1
2903455,30,0
2903455,7,0
2903455,36,0
2903455,3,0
2903455,19,0
2903455,22,1
2903455,5,0
2903455,8,0
2903455,34,0
2903455,27,0
2903455,40,0
2903455,6,0
2903455,26,0
5904474,140,0
5904474,4,0
5904474,148,0
5904474,102,0
5904474,72,0
5904474,25,0
5904474,49,0
5904474,66,0
5904474,79,0
5904474,80,0
5904474,113,0
5904474,60,0
5904474,68,0
5904474,104,0
5904474,87,0
5904474,168,0
5904474,153,0
5904474,11,0
5904474,55,0
5904474,117,2
5903612,24,0
5903612,36,0
5903612,200,0
5903612,5,0
5903612,116,0
5903612,79,0
